INFO  - 2016-09-01 23:37:12.426; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.426; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2016-09-01 23:37:12.428; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-09-01 23:37:12.428; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-09-01 23:37:12.428; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-09-01 23:37:12.429; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-09-01 23:37:12.430; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-09-01 23:37:12.430; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-09-01 23:37:12.430; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-09-01 23:37:12.431; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-09-01 23:37:12.433; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-09-01 23:37:12.437; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-09-01 23:37:12.439; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-09-01 23:37:12.456; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-09-01 23:37:12.457; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.457; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.457; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.458; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.458; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.458; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.458; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.458; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.482; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-09-01 23:37:12.484; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-09-01 23:37:12.485; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-09-01 23:37:12.488; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-09-01 23:37:12.489; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-09-01 23:37:12.513; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-09-01 23:37:12.514; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-09-01 23:37:12.529; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-09-01 23:37:12.529; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-09-01 23:37:12.535; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@632e498d[collection1] main
INFO  - 2016-09-01 23:37:12.540; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf
